Feature,Importance
AATSC4m_aryl,0.2746857294128482
MATS5s_additive,0.1155842336043408
GATS2p_additive,0.0162133968156291
MATS4dv_additive,0.0073609550301686
MATS2p_additive,0.0072500240812797
GATS4i_additive,0.0059465882648442
VSA_EState8_additive,0.0038441098204771
AXp-6dv_aryl,0.0033803295191819
PEOE_VSA9_aryl,0.0032773092965865
ATSC2p_additive,0.0024534321179147
AATS4i_additive,0.0021451152921149
AATS3i_additive,0.0021306501271153
EState_VSA6_aryl,0.0020597733697175
BCUTZ-1l_ligand,0.0019308871549075
SsCH3_additive,0.0019118329490068
MATS3i_additive,0.0018182328121298
AATSC4Z_aryl,0.0017356219965608
BCUTs-1h_aryl,0.0016647134701093
AATS3pe_aryl,0.0015730763031367
AATSC3i_additive,0.0015477755087325
ETA_eta_F_aryl,0.0015389829483166
PEOE_VSA9_additive,0.0015386639010807
ATSC0pe_aryl,0.0014928986994597
AATS8i_ligand,0.0014213573387162
AATS5dv_additive,0.0014054169998287
AATSC3c_aryl,0.0013950403261109
BCUTp-1l_ligand,0.0013380321221704
ATSC8d_ligand,0.0013105263875318
VSA_EState7_additive,0.0012869518284005
MID_O_additive,0.0012838192375985
AATSC8dv_ligand,0.0012759706314244
BCUTi-1h_additive,0.0012105504319283
MATS2i_aryl,0.0011970675002472
ATSC4Z_aryl,0.001192710630731
GATS4c_ligand,0.0011862675714231
GATS2i_additive,0.0011717472574143
ATS1dv_aryl,0.0011582148913123
ATSC4m_aryl,0.0011561055155529
ATSC4are_aryl,0.001149488129883
EState_VSA6_ligand,0.0011108110308592
GATS5d_ligand,0.0011027839308222
MPC8_base,0.0010689052512389
AATSC4p_aryl,0.0010426593124457
ATSC6m_aryl,0.0010350452315435
AATSC8d_ligand,0.0010313604112079
BCUTpe-1h_aryl,0.0010197354387379
AATS3s_aryl,0.0010188456682812
ATSC0se_aryl,0.0010080019629408
AATSC2i_aryl,0.0010069685800623
ATSC6Z_aryl,0.000974415111576
EState_VSA5_base,0.0009672861405686
GATS2pe_ligand,0.0009590196306856
MATS5i_ligand,0.000958177451449
ATSC3se_aryl,0.0009569773949726
AATS1pe_product,0.0009563045290069
AATSC7i_ligand,0.0009429591394974
AXp-6dv_ligand,0.0009204322175382
AATSC0c_aryl,0.0009203271911365
MPC9_base,0.000920157019712
AATS3dv_aryl,0.0009166801351536
AATS4p_ligand,0.0009147469639445
BCUTc-1h_aryl,0.0009146500862307
ATSC0c_aryl,0.0009132984747408
AATSC0are_aryl,0.0008930781683871
ATS0dv_aryl,0.0008869813337091
ATSC5p_ligand,0.0008843375478873
nFRing_base,0.0008783362790254
ATSC3v_ligand,0.000877585327178
AATSC7d_ligand,0.0008773725728641
ATSC3c_aryl,0.0008691562837935
MATS8d_ligand,0.0008673779119809
GATS2s_additive,0.0008669040650882
MAXaasC_ligand,0.0008582600641489
MPC10_base,0.0008534710384226
GATS2m_ligand,0.000850746649915
GATS6m_ligand,0.0008481467670367
ATSC4pe_aryl,0.0008395942460542
SIC5_ligand,0.0008386194472119
GATS2i_ligand,0.0008369994718011
JGI10_ligand,0.0008354114857266
fMF_base,0.0008330393381115
AATSC8se_ligand,0.0008324457523851
C2SP3_base,0.0008270793830295
MATS8dv_ligand,0.0008267473262625
MATS7i_ligand,0.0008248864178362
ATSC3i_ligand,0.0008238528295616
AATS0se_product,0.0008230672516599
Xch-6d_base,0.0008228717298402
Xch-6dv_base,0.0008128424561812
GATS6i_ligand,0.0008111317295932
BCUTse-1h_aryl,0.0007922678545613
ATSC7c_additive,0.0007851849175511
piPC9_base,0.0007816193037575
piPC8_base,0.0007804837761214
BCUTi-1l_ligand,0.0007759755933362
ATS0dv_product,0.0007734804319554
VSA_EState7_base,0.0007576399339409
MATS7p_ligand,0.0007565093361901
Mare_product,0.0007562961301726
VSA_EState1_aryl,0.0007541050387134
VE2_Dzp_aryl,0.0007484946343397
AATS5p_aryl,0.0007440767196083
AATSC0i_ligand,0.0007396173018891
ATSC6c_aryl,0.0007355940914117
piPC10_base,0.000732812581744
AATSC7dv_ligand,0.0007326628974505
ATSC3m_ligand,0.0007289794435476
ATSC5Z_ligand,0.000720055793979
ATSC2i_aryl,0.0007196699966082
AATSC3c_ligand,0.0007139750699236
AATS1se_product,0.0007129145063505
ATSC0are_aryl,0.0007099618021579
AATSC1i_ligand,0.0007030072156877
ATSC7d_ligand,0.0006826299119006
Xch-7dv_base,0.0006821127602898
AATSC3m_ligand,0.0006800869620793
AATSC8i_ligand,0.0006798234339667
Mse_product,0.0006749015579514
IC5_ligand,0.000671816483499
AATS1p_ligand,0.0006635109077071
Kier2_ligand,0.000657996053968
ATSC8c_additive,0.0006578421321933
GATS4i_ligand,0.0006552759809631
GATS6Z_ligand,0.0006546603302312
AATS4dv_aryl,0.0006538062214422
GATS2Z_ligand,0.0006535962704525
AATSC3i_ligand,0.0006513559004836
AATSC2c_additive,0.0006459983234732
nHBAcc_base,0.0006456079188478
AATSC0se_product,0.0006454780071841
ATSC0se_product,0.0006412193584521
AXp-3dv_ligand,0.0006338406630206
AATS5v_aryl,0.0006308080482094
BCUTare-1h_aryl,0.000627047055234
ATSC7m_product,0.000626837471995
SIC4_base,0.0006237443762072
SMR_VSA1_aryl,0.0006223626558728
AATSC0m_product,0.0006185385959813
GATS4m_ligand,0.0006142073338587
Xpc-4dv_additive,0.0006077245724874
MATS7d_ligand,0.0006048194901498
ATSC3p_ligand,0.0006008820929805
GATS2v_ligand,0.0006002431680105
AXp-6d_ligand,0.0005980115290687
AATS7s_product,0.0005942899172817
